Time values are in nanoseconds
Test Length, Time (ns), answer length
2,216800,2
3,360300,2
4,711600,3
5,861400,3
6,1134900,4
7,1777400,5
8,2792500,5
9,4127500,6
10,6232900,6
11,7362400,6
12,9074100,6
13,13709300,7
14,11450100,7
15,14336500,7
16,17331100,7
17,19830900,7
18,37943600,7
19,32695400,7
20,39466400,7
21,62243500,8
22,53277400,8
23,65219900,8
24,64757900,8
25,61855600,8
26,66134800,8
27,76980600,8
28,88356900,9
29,97901200,9
30,110575700,10
31,103519000,9
32,109228600,9
33,123959700,9
34,141709400,9
35,135549100,9
36,150173200,9
37,166463700,9
38,176269800,9
39,211973200,9
40,231872300,9
41,241252700,10
42,275194900,10
43,281251600,10
44,302891500,10
45,316393700,10
46,341153400,12
47,365263700,12
48,375878200,12
49,412594800,11
50,435859000,11
51,484843400,13
52,501827900,13
53,523813300,14
54,545077800,14
55,526211500,10
56,562185300,10
57,687265000,15
58,694823900,15
59,665041400,11
60,739640300,13
61,888502400,15
62,841726900,15
63,771431200,11
64,915587600,12
65,943808200,12
66,997852700,13
67,1002392700,13
68,1117380600,14
69,1129518500,14
70,1193018900,13
71,1195136500,13
72,1229418200,13
73,1298363100,14
74,1372167100,13
75,1504178000,13
76,1535571300,15
77,1631735200,17
78,1701510200,15
79,1825141800,17
80,1861778600,17
81,1746150400,14
82,1915857300,15
83,2039980700,15
84,1968301400,14
85,2113200400,16
86,2174704700,16
87,2313277900,17
88,2325246200,15
89,2309815100,16
90,2275114000,14
91,2502298100,15
92,2651387800,17
93,2608817400,18
94,2825728500,16
95,2824584600,16
96,2926992800,15
97,3113773900,18
98,3044166500,16
99,3328934900,17
100,3288818400,18
